AUC,PR_AUC,Precision,Recall,F1,Accuracy,PosEdges,InputGraph,TargetGraph,InputEdges,TargetEdges,Scenario,Seed,BestEpoch
0.9781112004587572,0.9857719473195043,0.6471990464839095,0.9803052683407188,0.7796632293434278,0.7229607746594453,6093,547,548,6887,6093,low_density,2,40
0.9657124794147846,0.978566890407576,0.64332685005094,0.9668708240534521,0.7725932929203048,0.7154092427616926,7184,853,854,6652,7184,low_density,2,40
0.9618031295873245,0.976097278381916,0.6456029937064126,0.9644263753017406,0.7734474502012328,0.717507305297929,7871,381,382,6893,7871,low_density,2,40
0.9753715467254406,0.9836169711228495,0.6480229135173841,0.977556409025444,0.7793885460025836,0.7232957273163706,8332,777,778,6885,8332,low_density,2,40
0.9479949419256624,0.9694253534322237,0.6399,0.9495474105950438,0.7645618017802737,0.7075975664045111,6739,1361,1362,6701,6739,low_density,2,40
0.9684189781021897,0.9794215972811965,0.6483207144243837,0.9750364963503649,0.7788013059701493,0.723065693430657,6850,545,546,6729,6850,low_density,2,40
0.9677751366083079,0.9787195343266188,0.6424916355048219,0.9762260765550239,0.7749554896142433,0.7165071770334929,6688,1156,1157,6874,6688,low_density,2,40
0.9795350024711826,0.9868224250418353,0.6504435387197315,0.9823777911888956,0.7826714107125685,0.7272178636089318,8285,126,127,9015,8285,high_density,0,49
0.9759754622374958,0.9845144662669109,0.6499189627228525,0.9798763834986345,0.7814971913332569,0.726031335345695,6957,1408,1409,7747,6957,high_density,0,49
0.9625588905836197,0.9764811052130227,0.6472148541114059,0.9650047938638543,0.7747895116670676,0.7194990412272292,8344,637,638,7865,8344,high_density,0,49
0.9840612889145317,0.9892798288374338,0.6472342733188721,0.985413513141599,0.781299438110305,0.7241640291729737,7267,633,634,8248,7267,high_density,0,49
0.979805063298895,0.9862144171618349,0.6510592696397659,0.9849108367626886,0.7839205955334988,0.7285197655568026,8019,241,242,8002,8019,high_density,0,49
0.9740959513723069,0.9835037612376907,0.6518567018987934,0.9756404871902562,0.7815408769765616,0.7272854542909142,7143,575,576,8997,7143,high_density,0,49
0.9700411482971781,0.9811321686319806,0.6496783770410688,0.9743970315398887,0.779575478699718,0.7244897959183674,8085,1237,1238,9125,8085,high_density,0,49
